name,personId
Franz Wagner,1630532
Paolo Banchero,1631094
Caleb Houstan,1631216
Anthony Black,1641710
Jett Howard,1641724
Tristan da Silva,1641783
Ronald Holland II,1641842
Brook Lopez,201572
Giannis Antetokounmpo,203507
Bobby Portis,1626171
Taurean Prince,1627752
Kyle Kuzma,1628398
Gary Trent Jr.,1629018
Kevin Porter Jr.,1629645
Jericho Sims,1630579
AJ Green,1631260
Kyle Anderson,203937
Andrew Wiggins,203952
Bam Adebayo,1628389
Duncan Robinson,1629130
Haywood Highsmith,1629312
Tyler Herro,1629639
Davion Mitchell,1630558
Nikola Jovic,1631107
Jaime Jaquez Jr.,1631170
Pelle Larsson,1641796
Kel'el Ware,1642276
Keshad Johnson,1642352
Damian Lillard,203081
Pat Connaughton,1626192
Ryan Rollins,1631157
Andre Jackson Jr.,1641748
Chris Livingston,1641753
Jaxson Hayes,1629637
Jordan Goodwin,1630692
Luke Kennard,1628379
Jaren Jackson Jr.,1628991
John Konchar,1629723
Lamar Stevens,1630205
Desmond Bane,1630217
Santi Aldama,1630583
Scotty Pippen Jr.,1630590
Jay Huff,1630643
Vince Williams Jr.,1631246
Zach Edey,1641744
Alex Len,203458
Shake Milton,1629003
Dalton Knecht,1642261
Bronny James,1642355
Patty Mills,201988
Ja Morant,1629630
Marvin Bagley III,1628963
Alec Burks,202692
Isaiah Stewart,1630191
Klay Thompson,202691
Anthony Davis,203076
Spencer Dinwiddie,203915
Dante Exum,203957
Caleb Martin,1628997
P.J. Washington,1629023
Daniel Gafford,1629655
Naji Marshall,1630230
Brandon Williams,1630314
Max Christie,1631108
GG Jackson,1641713
Dereck Lively II,1641726
Caris LeVert,1627747
Georges Niang,1627777
Trae Young,1629027
Terance Mann,1629611
Onyeka Okongwu,1630168
Vit Krejci,1630249
Dyson Daniels,1630700
Mouhamed Gueye,1631243
Zaccharie Risacher,1642258
DeMar DeRozan,201942
Jonas Valanciunas,202685
Zach LaVine,203897
Doug McDermott,203926
Dwight Powell,203939
Trey Lyles,1626168
Domantas Sabonis,1627734
Markelle Fultz,1628365
Terence Davis,1629056
Jaden Hardy,1630702
Keegan Murray,1631099
Keon Ellis,1631165
Devin Carter,1642269
Isaac Jones,1642403
Nikola Vucevic,202696
Zach Collins,1628380
Kevin Huerter,1628989
Coby White,1629632
Talen Horton-Tucker,1629659
Patrick Williams,1630172
Jalen Smith,1630188
Josh Giddey,1630581
Dalen Terry,1631207
Julian Phillips,1641763
Matas Buzelis,1641824
Dominick Barlow,1631230
David Roddy,1631223
Trey Alexander,1641725
N'Faly Dante,1642368
Kai Jones,1630539
Cam Spencer,1642285
Yuki Kawamura,1642530
Svi Mykhailiuk,1629004
Jaden Springer,1630531
Johnny Juzang,1630548
Micah Potter,1630695
Oscar Tshiebwe,1631131
Keyonte George,1641718
Brice Sensabaugh,1641729
Kyle Filipowski,1642271
Elfrid Payton,203901
Kylor Kelley,1630283
Jeremiah Robinson-Earl,1630526
Jose Alvarado,1630631
Keion Brooks Jr.,1631232
Jamal Cain,1631288
Lester Quinones,1631311
Adam Flagler,1641745
Antonio Reeves,1641810
Branden Carlson,1642382
Alex Ducas,1642505
Chris Paul,101108
Garrett Temple,202066
Bismack Biyombo,202687
Harrison Barnes,203084
Jordan McLaughlin,1629162
Keldon Johnson,1629640
Ochai Agbaji,1630534
Scottie Barnes,1630567
Sandro Mamukelashvili,1630572
Julian Champagnie,1630577
A.J. Lawson,1630639
Colin Castleton,1630658
Malaki Branham,1631103
Blake Wesley,1631104
Stephon Castle,1642264
Jamal Shead,1642347
Jonathan Mogbo,1642367
Jamison Battle,1642419
Amir Coffey,1629599
Markieff Morris,202693
Matisse Thybulle,1629680
Dalano Banton,1630625
Christian Koloko,1631132
Jabari Walker,1631133
Kris Murray,1631200
Justin Minaya,1631303
Sidy Cissoko,1631321
Rayan Rupert,1641712
Toumani Camara,1641739
Trey Jemison III,1641998
Donovan Clingan,1642270
Mason Plumlee,203486
Tyus Jones,1626145
Royce O'Neale,1626220
Damion Lee,1627814
Monte Morris,1628420
Grayson Allen,1628960
Cody Martin,1628998
Bol Bol,1629626
TyTy Washington Jr.,1631102
Collin Gillespie,1631221
Jalen Bridges,1641779
Oso Ighodaro,1642345
Ryan Dunn,1642346
Garrison Mathews,1629726
Keaton Wallace,1630811
Jacob Toppin,1631210
Daeqwon Plowden,1631342
Taj Gibson,201959
Jusuf Nurkic,203994
Josh Okogie,1629006
DaQuan Jeffries,1629610
Wendell Moore Jr.,1631111
Moussa Diabate,1631217
Jaylen Sims,1631301
Drew Peterson,1641809
Damion Baugh,1641878
Miles Norris,1641936
Tidjane Salaun,1642275
KJ Simpson,1642354
Nic Claxton,1629651
Keon Johnson,1630553
Trendon Watford,1630570
Jalen Wilson,1630592
Tyson Etienne,1630623
MarJon Beauchamp,1630699
Drew Timme,1631166
Tyrese Martin,1631213
Dariq Whitehead,1641727
Kevin McCullar Jr.,1641755
Tosan Evbuomwan,1641787
Anton Watson,1641817
Quenton Jackson,1631245
Luke Travers,1631247
Emoni Bates,1641734
Nae'Qwan Tomlin,1641772
Enrique Freeman,1642402
RayJ Dennis,1642484
Terry Rozier,1626179
Josh Christopher,1630528
Justin Champagnie,1630551
Colby Jones,1641732
Tristan Vukcevic,1641774
Alex Sarr,1642259
Bub Carrington,1642267
Kyshawn George,1642273
AJ Johnson,1642358
Jevon Carter,1628975
Lonnie Walker IV,1629022
Quentin Grimes,1629656
Jared Butler,1630215
Marcus Bagley,1630542
Isaiah Mobley,1630600
E.J. Liddell,1630604
Jalen Hood-Schifino,1641720
Adem Bona,1641737
Ricky Council IV,1641741
Emanuel Miller,1641801
Jahmir Young,1642443
Lindy Waters III,1630322
Stanley Umude,1630649
Jamaree Bouyea,1631123
Ron Harper Jr.,1631199
Marcus Sasser,1631204
Pete Nance,1631250
Simone Fontecchio,1631323
Bobi Klintman,1641752
Tyler Smith,1641890
Tolu Smith,1642449
Daniss Jenkins,1642450
Jack McVeigh,1629098
Bradley Beal,203078
Devin Booker,1626164
David Duke Jr.,1630561
Harrison Ingram,1631127
Duop Reath,1641871
Maxwell Lewis,1641721
Reece Beekman,1641736
JT Thor,1630550
Seth Curry,203552
Mark Williams,1631109
Nick Smith Jr.,1641733
Trevelin Queen,1630243
Jeff Dowtin Jr.,1630288
Karlo Matkovic,1631255
Ziaire Williams,1630533
Jae'Sean Tate,1630256
Trentyn Flowers,1642280
Devin Vassell,1630170
Collin Sexton,1629012
Shaedon Sharpe,1631101
RJ Barrett,1629628
Immanuel Quickley,1630193
Orlando Robinson,1631115
Jared Rhoden,1631197
Cole Swider,1631306
Jaylen Martin,1641798
Alex Reese,1642024
Nick Richards,1630208
Jackson Rowe,1642050
Kelly Olynyk,203482
Bruce Brown,1628971
Yves Missi,1642274
Miles Bridges,1628970
Jaylen Wells,1642377
Jordan Poole,1629673
Anthony Gill,1630264
Kyle Lowry,200768
Malik Monk,1628370
Isaiah Collier,1642268
Ja'Kobe Walter,1642266
Guerschon Yabusele,1627824
Justin Edwards,1642348
Patrick Baldwin Jr.,1631116
Deni Avdija,1630166
Charles Bassey,1629646
Vasilije Micic,203995
Jakob Poeltl,1627751
Jae Crowder,203109
D'Angelo Russell,1626156
Bones Hyland,1630538
Marcus Smart,203935
Phillip Wheeler,1630762
Dario Saric,203967
Spencer Jones,1642461
Kenyon Martin Jr.,1630231
Walker Kessler,1631117
Isaiah Stevens,1641815
Josh Green,1630182
Richaun Holmes,1626158
Kevin Durant,201142
Jeremy Sochan,1631110
Anfernee Simons,1629014
Cameron Johnson,1629661
Noah Clowney,1641730
Isaiah Crawford,1642384
PJ Hall,1641790
Cody Williams,1642262
Jordan Hawkins,1641722
Terry Taylor,1630678
Scoot Henderson,1630703
Khris Middleton,203114
Jake LaRavia,1631222
Kessler Edwards,1630556
LaMelo Ball,1630163
Mason Jones,1630222
Day'Ron Sharpe,1630549
Oshae Brissett,1629052
Jordan Clarkson,203903
CJ McCollum,203468
Bryce McGowens,1631121
Kevin Love,201567
Joe Ingles,204060
Mac McClung,1630644
Cam Reddish,1629629
Tre Jones,1630200
Brandon Clarke,1629634
Zion Williamson,1629627
Marcus Garrett,1630585
Lauri Markkanen,1628374
Mo Bamba,1628964
Trey Murphy III,1630530
Corey Kispert,1630557
Cam Thomas,1630560
John Collins,1628381
De'Aaron Fox,1628368
Andre Drummond,203083
Kelly Oubre Jr.,1626162
Skal Labissiere,1627746
Clint Capela,203991
Malachi Flynn,1630201
Bilal Coulibaly,1641731
Jerami Grant,203924
Olivier-Maxence Prosper,1641765
Paul George,202331
Jesse Edwards,1642399
Kyrie Irving,202681
Tyrese Maxey,1630178
Gradey Dick,1641711
Moses Brown,1629650
Killian Hayes,1630165
Jalen McDaniels,1629667
Lonzo Ball,1628366
Ayo Dosunmu,1630245
Chris Boucher,1628449
Yuri Collins,1641879
Joel Embiid,203954
Matt Ryan,1630346
Robert Williams III,1629057
Tristen Newton,1641803
Zyon Pullin,1642389
Victor Wembanyama,1641705
Isaiah Wong,1631209
Malcolm Brogdon,1627763
Jahlil Okafor,1626143
Ulrich Chomche,1642279
Elijah Harkless,1641989
Deandre Ayton,1629028
Larry Nance Jr.,1626204
Eric Gordon,201569
Brandon Boston Jr.,1630527
Johnny Davis,1631098
Reggie Jackson,202704
Armel Traore,1642422
Chris Duarte,1630537
Dejounte Murray,1627749
Daniel Theis,1628464
Jalen Suggs,1630591
Jazian Gortman,1641789
Jalen Johnson,1630552
Liam Robbins,1641857
Brandon Miller,1641706
Quincy Olivari,1642439
Herbert Jones,1630529
Jaden Ivey,1631093
Bruno Fernando,1628981
PJ Dozier,1628408
Dru Smith,1630696
Moritz Wagner,1629021
Adama Sanogo,1641766
Jared McCain,1642272
Kobe Bufkin,1641723
Brandon Ingram,1627742
Daishen Nix,1630227
Cui Yongxi,1642385
Taze Moore,1631386
Grant Williams,1629684
Alondes Williams,1631214
Tre Mann,1630544
Jaylen Nowell,1629669
Josh Richardson,1626196
Malevy Leons,1642502
De'Anthony Melton,1629001
Riley Minix,1642434
Isaiah Jackson,1630543
D.J. Carton,1630618
Taylor Hendricks,1641707
James Wiseman,1630164
